Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00  4200000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_set_size(unsigned long)
  0.00      0.00     0.00  4000000     0.00     0.00  std::_List_iterator<char*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00  3800000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::~new_allocator()
  0.00      0.00     0.00  3800000     0.00     0.00  std::allocator<std::_List_node<char*> >::~allocator()
  0.00      0.00     0.00  3800000     0.00     0.00  std::_List_node<unsigned long>::_List_node<>()
  0.00      0.00     0.00  3800000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_List_impl::~_List_impl()
  0.00      0.00     0.00  3800000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_init()
  0.00      0.00     0.00  3800000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_clear()
  0.00      0.00     0.00  3800000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::~_List_base()
  0.00      0.00     0.00  3800000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::~list()
  0.00      0.00     0.00  3000000     0.00     0.00  std::_List_const_iterator<char*>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.00     0.00  2800000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::end()
  0.00      0.00     0.00  2400000     0.00     0.00  std::_List_const_iterator<char*>::_List_const_iterator(std::_List_iterator<char*> const&)
  0.00      0.00     0.00  2300000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::new_allocator()
  0.00      0.00     0.00  2300000     0.00     0.00  std::allocator<std::_List_node<char*> >::allocator()
  0.00      0.00     0.00  2300000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_List_impl::_List_impl()
  0.00      0.00     0.00  2300000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_List_base()
  0.00      0.00     0.00  2300000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::list()
  0.00      0.00     0.00  2200000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00  2200000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::empty() const
  0.00      0.00     0.00  2200000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::splice(std::_List_const_iterator<char*>, std::__cxx11::list<char*, std::allocator<char*> >&&)
  0.00      0.00     0.00  1600000     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.00     0.00  1500000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<char*> > const&)
  0.00      0.00     0.00  1500000     0.00     0.00  std::_List_const_iterator<char*>::operator!=(std::_List_const_iterator<char*> const&) const
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_get_Node_allocator() const
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::end() const
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::begin() const
  0.00      0.00     0.00  1500000     0.00     0.00  std::allocator<std::_List_node<char*> >::allocator(std::allocator<std::_List_node<char*> > const&)
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_List_impl::_List_impl(std::allocator<std::_List_node<char*> > const&)
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_List_base(std::allocator<std::_List_node<char*> > const&)
  0.00      0.00     0.00  1500000     0.00     0.00  void std::__cxx11::list<char*, std::allocator<char*> >::_M_initialize_dispatch<std::_List_const_iterator<char*> >(std::_List_const_iterator<char*>, std::_List_const_iterator<char*>, std::__false_type)
  0.00      0.00     0.00  1500000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::list(std::__cxx11::list<char*, std::allocator<char*> > const&)
  0.00      0.00     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_get_Node_allocator()
  0.00      0.00     0.00  1100000     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00  1000010     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00  1000010     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00  1000010     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00  1000008     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00  1000008     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00  1000006     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00  1000006     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00  1000006     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00  1000006     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00  1000006     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00  1000006     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00  1000000     0.00     0.00  void insert_in_list_if<false>::insert_if<std::__cxx11::list<char*, std::allocator<char*> >, int>(std::__cxx11::list<char*, std::allocator<char*> >, int, bool)
  0.00      0.00     0.00   900000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, int&, equal_to<char>&>(int&, equal_to<char>&)
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper<char, int&, equal_to<char>&, Iterability::not_iterable>::grep_helper(int&, equal_to<char>&)
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper<char, int&, equal_to<char>&, Iterability::not_iterable>::operator()()
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper_base<char, int&, equal_to<char>&>::predicate_on_s()
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper_base<char, int&, equal_to<char>&>::s()
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper_base<char, int&, equal_to<char>&>::grep_helper_base(int&, equal_to<char>&)
  0.00      0.00     0.00   900000     0.00     0.00  grep_helper_base<char, std::vector<int, std::allocator<int> >, equal_to<char>&>::f()
  0.00      0.00     0.00   900000     0.00     0.00  bool apply_predicate_or_false<false>::predict<equal_to<char>&, int&>(equal_to<char>&, int&)
  0.00      0.00     0.00   900000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.00     0.00   900000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.00     0.00   800000     0.00     0.00  void insert_in_list_if<true>::insert_if<std::__cxx11::list<char*, std::allocator<char*> >, char>(std::__cxx11::list<char*, std::allocator<char*> >&, char&, bool)
  0.00      0.00     0.00   800000     0.00     0.00  equal_to<char>::operator()(char)
  0.00      0.00     0.00   800000     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.00     0.00   800000     0.00     0.00  char*&& std::forward<char*>(std::remove_reference<char*>::type&)
  0.00      0.00     0.00   700000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, char&, equal_to<char>&>(char&, equal_to<char>&)
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper<char, char&, equal_to<char>&, Iterability::not_iterable>::grep_helper(char&, equal_to<char>&)
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper<char, char&, equal_to<char>&, Iterability::not_iterable>::operator()()
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper_base<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, equal_to<char>&>::f()
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper_base<char, char&, equal_to<char>&>::predicate_on_s()
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper_base<char, char&, equal_to<char>&>::s()
  0.00      0.00     0.00   700000     0.00     0.00  grep_helper_base<char, char&, equal_to<char>&>::grep_helper_base(char&, equal_to<char>&)
  0.00      0.00     0.00   700000     0.00     0.00  bool apply_predicate_or_false<true>::predict<equal_to<char>&, char&>(equal_to<char>&, char&)
  0.00      0.00     0.00   700000     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.00     0.00   700000     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.00     0.00   600000     0.00     0.00  std::_List_const_iterator<char*>::_M_const_cast() const
  0.00      0.00     0.00   600000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00   500005     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00   500005     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.00     0.00   500005     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00   500005     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00   500005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00   500005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00   500005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00   500005     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00   500005     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00   500005     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.00     0.00   500005     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00   500005     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00   500005     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00   500003     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00   500003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00   500003     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00   500003     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00   500003     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00   500003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00   500003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00   500003     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.00     0.00   500003     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00   500003     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00   500003     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
